"game_id","season","foul","qtr","home_team_id","away_team_id","leading_team","winner","success","home_game_fgpct","home_game_3pct","home_game_FTpct","away_game_fgpct","away_game_3pct","away_game_FTpct","clock_seconds","leading_fgpct","leading_3pct","leading_FTpct","opponent_fgpct","opponent_3pct","opponent_FTpct"
260326016,2006,1,4,"MIN","NY","home","home",1,39.7,40,78.4,41.2,44.4,72.3,6.8,39.7,40,78.4,41.2,44.4,72.3
260402016,2006,1,5,"MIN","GS","home","home",1,44.4,11.1,75.8,41.5,28.2,83.3,7.8,44.4,11.1,75.8,41.5,28.2,83.3
260412010,2006,1,4,"HOU","MIN","away","away",1,38,9.1,78.3,37.8,30,82.1,2.6,37.8,30,82.1,38,9.1,78.3
260414028,2006,1,4,"TOR","DET","home","home",1,45.1,38.9,93.1,51.2,33.3,76.2,12.4,45.1,38.9,93.1,51.2,33.3,76.2
261108007,2007,1,4,"DEN","NY","away","away",1,44.7,33.3,80,50,52.9,74.1,2.9,50,52.9,74.1,44.7,33.3,80
261108028,2007,1,4,"TOR","PHI","home","home",1,40.9,36.8,79.3,49.4,25,75,5.4,40.9,36.8,79.3,49.4,25,75
261111005,2007,1,4,"CLE","BOS","home","home",1,40.8,26.3,69.2,41,31.6,76,1.7,40.8,26.3,69.2,41,31.6,76
261118015,2007,1,4,"MIL","IND","away","away",1,46.2,46.2,75.9,42.5,42.3,62.2,4.1,42.5,42.3,62.2,46.2,46.2,75.9
261207017,2007,1,4,"NJ","PHX","home","away",0,56.1,47.6,87.1,52.1,54.8,81.5,4.8,56.1,47.6,87.1,52.1,54.8,81.5
261216015,2007,1,4,"MIL","MIN","home","home",1,50.6,41.2,78.9,52.1,25,75.8,5.2,50.6,41.2,78.9,52.1,25,75.8
261222003,2007,1,5,"NO","MEM","home","home",1,44,33.3,69,42.5,38.5,82.6,4.3,44,33.3,69,42.5,38.5,82.6
261222017,2007,1,4,"BKN","LAL","away","away",1,41.7,26.3,80,47.9,50,79.2,6.3,47.9,50,79.2,41.7,26.3,80
261231010,2007,1,4,"HOU","MEM","home","home",1,41.8,45.2,70,51.9,56.3,78.3,3.6,41.8,45.2,70,51.9,56.3,78.3
270107022,2007,1,4,"POR","MIA","away","away",1,43.8,35,71.4,46.4,33.3,83.3,18.8,46.4,33.3,83.3,43.8,35,71.4
270111004,2007,1,4,"CHI","BKN","away","away",1,37.7,33.3,88.9,37.7,26.3,67.6,11.4,37.7,26.3,67.6,37.7,33.3,88.9
270112011,2007,1,5,"IND","DAL","away","away",1,43.9,45.5,78.3,42,30,77.8,3.2,42,30,77.8,43.9,45.5,78.3
270127006,2007,1,4,"DAL","SAC","home","home",1,52.6,40,83.3,52.7,46.2,74.1,1.5,52.6,40,83.3,52.7,46.2,74.1
270205020,2007,1,5,"PHI","NJ","home","home",1,44.6,23.1,75,43.5,28,58.6,9.3,44.6,23.1,75,43.5,28,58.6
270304002,2007,1,5,"BOS","MIN","home","home",1,45.5,41.2,80.4,50,42.9,87,18.7,45.5,41.2,80.4,50,42.9,87
270313003,2007,1,4,"NO","BKN","away","away",1,46.5,56.3,70.4,58.3,55,58.6,5,58.3,55,58.6,46.5,56.3,70.4
270323024,2007,1,4,"SA","DET","home","home",1,45.1,50,62.1,45,15.4,83.3,11.4,45.1,50,62.1,45,15.4,83.3
270323025,2007,1,4,"SEA","MIN","home","home",1,36.4,33.3,73.3,45.9,23.1,64.7,14.9,36.4,33.3,73.3,45.9,23.1,64.7
270327013,2007,1,4,"LAL","MEM","away","away",1,34.7,37.1,63.6,43.5,20,78.6,8,43.5,20,78.6,34.7,37.1,63.6
270328027,2007,1,4,"WSH","PHI","home","home",1,47.6,42.9,89.3,51.6,38.9,53.8,2.2,47.6,42.9,89.3,51.6,38.9,53.8
270330013,2007,1,4,"LAL","HOU","away","away",1,40.9,31.3,71.1,38.1,31.8,87.8,15.5,38.1,31.8,87.8,40.9,31.3,71.1
270330027,2007,1,4,"WSH","TOR","home","away",0,39.8,28,73.3,50,38.9,81.5,4.4,39.8,28,73.3,50,38.9,81.5
270409007,2007,1,4,"DEN","LAL","home","home",1,44.9,30,79.6,43.6,40.9,71.4,8.3,44.9,30,79.6,43.6,40.9,71.4
270410027,2007,1,4,"WSH","NJ","away","away",1,41.3,26.3,71.4,46.4,31.8,86.2,5.4,46.4,31.8,86.2,41.3,26.3,71.4
271109020,2008,1,4,"PHI","TOR","away","away",1,45.5,33.3,69.6,45.9,50,75.7,1.8,45.9,50,75.7,45.5,33.3,69.6
271114005,2008,1,4,"CLE","ORL","away","away",1,45.5,43.8,86.4,47.7,36.7,77.4,3.1,47.7,36.7,77.4,45.5,43.8,86.4
271117006,2008,1,4,"DAL","MEM","home","home",1,47.6,25,70,46.4,36.8,87,10.2,47.6,25,70,46.4,36.8,87
271121010,2008,1,4,"HOU","DAL","away","away",1,44.3,43.5,77.8,43.2,40,83.3,12.1,43.2,40,83.3,44.3,43.5,77.8
271123025,2008,1,4,"OKC","BKN","away","away",1,47.9,41.7,66.7,49.4,38.5,68.2,2.1,49.4,38.5,68.2,47.9,41.7,66.7
271127007,2008,1,4,"DEN","IND","away","away",1,36.1,40.9,81.6,48.4,28.6,64.3,6.3,48.4,28.6,64.3,36.1,40.9,81.6
271201017,2008,1,5,"NJ","PHI","home","home",1,40.5,25,82.8,41.9,25,81.8,2.8,40.5,25,82.8,41.9,25,81.8
271208030,2008,1,4,"CHA","CLE","home","home",1,43.8,44.4,75,45.7,40,74.2,4.9,43.8,44.4,75,45.7,40,74.2
271217005,2008,1,6,"CLE","MIL","home","home",1,40,17.6,78.1,42.4,20,72.7,19.1,40,17.6,78.1,42.4,20,72.7
271217006,2008,1,4,"DAL","ORL","home","home",1,52.5,25,92,52.4,35.7,75,7.4,52.5,25,92,52.4,35.7,75
